NodeID,Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z,Timestamp
r6,-0.789917,-0.172729,0.589844,2.746582,0.427246,-0.061035,2026-04-20T14:57:34.671481+00:00
r6,-0.789429,-0.172852,0.590576,2.746582,0.671387,-0.12207,2026-04-20T14:57:34.702495+00:00
r6,-0.790405,-0.172729,0.592773,2.746582,0.549316,-0.244141,2026-04-20T14:57:34.733500+00:00
r6,-0.790405,-0.170166,0.592529,2.868652,0.549316,-0.12207,2026-04-20T14:57:34.764497+00:00
r6,-0.790894,-0.171265,0.592041,2.807617,0.671387,-0.244141,2026-04-20T14:57:34.795523+00:00
r6,-0.791748,-0.17041,0.592407,2.990723,0.671387,-0.244141,2026-04-20T14:57:34.826092+00:00
r6,-0.790161,-0.170166,0.592651,2.929688,0.732422,0.0,2026-04-20T14:57:34.855088+00:00
r6,-0.790649,-0.171509,0.592407,2.746582,0.610352,-0.12207,2026-04-20T14:57:34.884509+00:00
r6,-0.790649,-0.172241,0.591309,2.807617,0.732422,-0.061035,2026-04-20T14:57:34.913146+00:00
r6,-0.78894,-0.171509,0.591553,2.624512,0.427246,-0.061035,2026-04-20T14:57:34.943512+00:00
r6,-0.790771,-0.170288,0.592163,2.807617,0.549316,-0.244141,2026-04-20T14:57:34.974077+00:00
r6,-0.789673,-0.171997,0.591919,2.685547,0.610352,-0.12207,2026-04-20T14:57:35.005096+00:00
r6,-0.790771,-0.171021,0.591309,2.868652,0.610352,0.0,2026-04-20T14:57:35.033522+00:00
r6,-0.789917,-0.169678,0.590576,2.685547,0.549316,-0.061035,2026-04-20T14:57:35.064106+00:00
